Index,Source,Species,Tissue,Batch,FragPipe_result,Contaminant,Protein,Protein ID,Entry Name,Gene,Length,Is Decoy,Is Contaminant,Organism,Protein Description,Protein Existence,Coverage,Protein Probability,Top Peptide Probability,Protein Qvalue,Total Peptides,Unique Peptides,Razor Peptides,Total Spectral Count,Unique Spectral Count,Razor Spectral Count,Total Intensity,Unique Intensity,Razor Intensity,Razor Assigned Modifications,Razor Observed Modifications,Indistinguishable Proteins
25,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G0847900.1,TraesCS1B03G0847900.1,TraesCS1B03G0847900.1,,320,False,False,,TraesCS1B03G0847900.1,,11.25,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,,,TraesCS1D03G0711100.1
26,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G0938000.1,TraesCS1B03G0938000.1,TraesCS1B03G0938000.1,,824,False,False,,TraesCS1B03G0938000.1,,11.17,1.0,0.999,0.0,5,2,5,12,3,12,0,0,0,,,
27,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G1018900.1,TraesCS1B03G1018900.1,TraesCS1B03G1018900.1,,288,False,False,,TraesCS1B03G1018900.1,,16.32,1.0,0.999,0.0,2,0,2,3,0,3,0,0,0,N-term(42.0106),,TraesCS1D03G0848600.1
28,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G1037600.1,TraesCS1B03G1037600.1,TraesCS1B03G1037600.1,,212,False,False,,TraesCS1B03G1037600.1,,46.7,1.0,0.999,0.0,7,0,7,44,0,44,0,0,0,"9M(15.9949), N-term(42.0106)",,TraesCS1B03G1037600.2
29,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G1038600.1,TraesCS1B03G1038600.1,TraesCS1B03G1038600.1,,200,False,False,,TraesCS1B03G1038600.1,,39.5,1.0,0.999,0.0,4,3,4,7,6,7,0,0,0,9M(15.9949),,
30,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G1062500.1,TraesCS1B03G1062500.1,TraesCS1B03G1062500.1,,741,False,False,,TraesCS1B03G1062500.1,,20.78,1.0,0.999,0.0,8,7,8,14,13,14,0,0,0,,,
31,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G1198500.1,TraesCS1B03G1198500.1,TraesCS1B03G1198500.1,,145,False,False,,TraesCS1B03G1198500.1,,33.79,1.0,0.999,0.0,3,2,2,8,3,3,0,0,0,,,
32,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G1251400.1,TraesCS1B03G1251400.1,TraesCS1B03G1251400.1,,367,False,False,,TraesCS1B03G1251400.1,,25.61,1.0,0.999,0.0,3,2,3,5,3,5,0,0,0,N-term(42.0106),,
33,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1D03G0195600.1,TraesCS1D03G0195600.1,TraesCS1D03G0195600.1,,347,False,False,,TraesCS1D03G0195600.1,,17.29,1.0,0.999,0.0,2,1,2,22,12,22,0,0,0,,,
34,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1D03G0421900.1,TraesCS1D03G0421900.1,TraesCS1D03G0421900.1,,599,False,False,,TraesCS1D03G0421900.1,,48.58,1.0,0.999,0.0,16,0,16,35,0,35,0,0,0,"25M(15.9949), 27M(15.9949)",,TraesCS1D03G0421900.2
35,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1D03G0862200.1,TraesCS1D03G0862200.1,TraesCS1D03G0862200.1,,220,False,False,,TraesCS1D03G0862200.1,,43.64,1.0,0.999,0.0,7,1,2,41,6,9,0,0,0,9M(15.9949),,
36,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1D03G0862300.1,TraesCS1D03G0862300.1,TraesCS1D03G0862300.1,,163,False,False,,TraesCS1D03G0862300.1,,30.67,1.0,0.9985,0.0,3,1,3,5,2,5,0,0,0,,,
37,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1D03G0862600.1,TraesCS1D03G0862600.1,TraesCS1D03G0862600.1,,180,False,False,,TraesCS1D03G0862600.1,,27.22,1.0,0.9988,0.0,4,0,2,12,0,2,0,0,0,,,
38,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1D03G0882600.1,TraesCS1D03G0882600.1,TraesCS1D03G0882600.1,,728,False,False,,TraesCS1D03G0882600.1,,15.11,1.0,0.9989,0.0,6,3,5,10,3,9,0,0,0,,,
39,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G0066600.1,TraesCS2A03G0066600.1,TraesCS2A03G0066600.1,,707,False,False,,TraesCS2A03G0066600.1,,4.81,1.0,0.999,0.0,2,2,2,5,5,5,0,0,0,,,
40,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G0146300.1,TraesCS2A03G0146300.1,TraesCS2A03G0146300.1,,709,False,False,,TraesCS2A03G0146300.1,,4.51,1.0,0.9972,0.00309119010819,2,0,2,3,0,3,0,0,0,,,"TraesCS2B03G0204600.1, TraesCS2D03G0145200.1"
41,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G0209800.1,TraesCS2A03G0209800.1,TraesCS2A03G0209800.1,,373,False,False,,TraesCS2A03G0209800.1,,10.19,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,,,"TraesCS2A03G0209800.2, TraesCS2B03G0288900.1, TraesCS2B03G0288900.2, TraesCS2D03G0214800.1, TraesCS2D03G0214800.2"
42,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G0234900.1,TraesCS2A03G0234900.1,TraesCS2A03G0234900.1,,337,False,False,,TraesCS2A03G0234900.1,,12.76,1.0,0.9989,0.0,1,1,1,3,3,3,0,0,0,,,
43,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G0776900.1,TraesCS2A03G0776900.1,TraesCS2A03G0776900.1,,219,False,False,,TraesCS2A03G0776900.1,,18.72,1.0,0.999,0.0,2,0,2,6,0,6,0,0,0,,,TraesCS2D03G0717200.1
44,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G0809700.1,TraesCS2A03G0809700.1,TraesCS2A03G0809700.1,,285,False,False,,TraesCS2A03G0809700.1,,13.68,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,N-term(42.0106),,"TraesCS2B03G0894600.1, TraesCS2D03G0749200.1"
45,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G0889000.1,TraesCS2A03G0889000.1,TraesCS2A03G0889000.1,,263,False,False,,TraesCS2A03G0889000.1,,9.89,1.0,0.999,0.0,2,0,2,2,0,2,0,0,0,,,"TraesCS2B03G0979500.1, TraesCS2D03G0831300.1, TraesCS6A03G0948100.1, TraesCS6A03G0948100.2, TraesCS6B03G1159400.1, TraesCS6D03G0826300.1"
46,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G1100700.1,TraesCS2A03G1100700.1,TraesCS2A03G1100700.1,,476,False,False,,TraesCS2A03G1100700.1,,7.14,1.0,0.999,0.0,2,0,2,2,0,2,0,0,0,,,"TraesCS2B03G1235700.1, TraesCS2D03G1044700.1"
47,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2A03G1143600.1,TraesCS2A03G1143600.1,TraesCS2A03G1143600.1,,444,False,False,,TraesCS2A03G1143600.1,,5.41,1.0,0.999,0.0,2,0,2,3,0,3,0,0,0,,,"TraesCS2A03G1143600.2, TraesCS2A03G1151900.1, TraesCS2A03G1151900.2, TraesCS2B03G1299600.1, TraesCS2B03G1307900.2, TraesCS2B03G1307900.3, TraesCS2D03G1093700.1, TraesCS2D03G1100800.1"
48,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G0113800.1,TraesCS2B03G0113800.1,TraesCS2B03G0113800.1,,296,False,False,,TraesCS2B03G0113800.1,,12.84,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,N-term(42.0106),,"TraesCS2B03G0113800.2, TraesCS2B03G0113800.3, TraesCS2B03G0113800.4"
49,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G0425700.1,TraesCS2B03G0425700.1,TraesCS2B03G0425700.1,,218,False,False,,TraesCS2B03G0425700.1,,17.89,1.0,0.999,0.0,2,1,1,10,4,4,0,0,0,4M(15.9949),,
50,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G0430900.1,TraesCS2B03G0430900.1,TraesCS2B03G0430900.1,,607,False,False,,TraesCS2B03G0430900.1,,7.41,1.0,0.999,0.0,2,1,2,5,2,5,0,0,0,,,
51,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G0566600.1,TraesCS2B03G0566600.1,TraesCS2B03G0566600.1,,1875,False,False,,TraesCS2B03G0566600.1,,2.93,1.0,0.999,0.0,3,1,3,4,1,4,0,0,0,,,
52,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G0771200.1,TraesCS2B03G0771200.1,TraesCS2B03G0771200.1,,487,False,False,,TraesCS2B03G0771200.1,,7.8,1.0,0.999,0.0,1,0,1,2,0,2,0,0,0,,,"TraesCS2B03G0771200.2, TraesCS2B03G0771200.3, TraesCS2B03G0771200.4"
53,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G0838400.1,TraesCS2B03G0838400.1,TraesCS2B03G0838400.1,,586,False,False,,TraesCS2B03G0838400.1,,16.04,1.0,0.999,0.0,5,3,5,13,11,13,0,0,0,"15M(15.9949), 17M(15.9949)",,
54,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G0978300.1,TraesCS2B03G0978300.1,TraesCS2B03G0978300.1,,131,False,False,,TraesCS2B03G0978300.1,,18.32,1.0,0.999,0.0,1,1,1,3,3,3,0,0,0,,,
55,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G1229100.1,TraesCS2B03G1229100.1,TraesCS2B03G1229100.1,,734,False,False,,TraesCS2B03G1229100.1,,11.17,1.0,0.999,0.0,2,0,2,2,0,2,0,0,0,,,"TraesCS3A03G0284200LC.1, TraesCS4D03G0400600LC.1, TraesCS7A03G0887100LC.1"
56,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2B03G1260400.1,TraesCS2B03G1260400.1,TraesCS2B03G1260400.1,,534,False,False,,TraesCS2B03G1260400.1,,9.55,1.0,0.999,0.0,3,0,3,6,0,6,0,0,0,,,TraesCS2D03G1067000.2
57,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2D03G0071000.1,TraesCS2D03G0071000.1,TraesCS2D03G0071000.1,,418,False,False,,TraesCS2D03G0071000.1,,9.09,1.0,0.999,0.0,2,0,2,5,0,5,0,0,0,"12M(15.9949), N-term(42.0106)",,TraesCS2D03G0071000.2
58,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2D03G0193300.1,TraesCS2D03G0193300.1,TraesCS2D03G0193300.1,,213,False,False,,TraesCS2D03G0193300.1,,17.84,1.0,0.999,0.0,2,1,2,5,1,5,0,0,0,13M(15.9949),,
59,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2D03G0268900.1,TraesCS2D03G0268900.1,TraesCS2D03G0268900.1,,218,False,False,,TraesCS2D03G0268900.1,,35.32,1.0,0.999,0.0,4,3,4,18,16,18,0,0,0,31M(15.9949),,
60,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2D03G0323600.1,TraesCS2D03G0323600.1,TraesCS2D03G0323600.1,,200,False,False,,TraesCS2D03G0323600.1,,19.5,1.0,0.999,0.0,2,0,2,14,0,14,0,0,0,4M(15.9949),,TraesCS2D03G0323600.2
61,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2D03G0639100.1,TraesCS2D03G0639100.1,TraesCS2D03G0639100.1,,225,False,False,,TraesCS2D03G0639100.1,,8.89,1.0,0.999,0.0,2,2,2,3,3,3,0,0,0,,,
62,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2D03G0701900.1,TraesCS2D03G0701900.1,TraesCS2D03G0701900.1,,556,False,False,,TraesCS2D03G0701900.1,,13.67,1.0,0.999,0.0,4,3,3,9,8,8,0,0,0,,,
63,PXD004720,bread wheat,embryo,single,protein,no,TraesCS2D03G1305600.1,TraesCS2D03G1305600.1,TraesCS2D03G1305600.1,,341,False,False,,TraesCS2D03G1305600.1,,16.72,1.0,0.9985,0.0,3,1,3,6,1,6,0,0,0,,,
64,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0016800.1,TraesCS3A03G0016800.1,TraesCS3A03G0016800.1,,189,False,False,,TraesCS3A03G0016800.1,,16.93,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,8M(15.9949),,"TraesCS3B03G0016800.1, TraesCS3B03G0018100.1, TraesCS3B03G0036100.1, TraesCS3B03G0037300.1, TraesCS3D03G0013300.1, TraesCS3D03G0014700.1, TraesCS4A03G1188300.1, TraesCS7A03G0041400.1, TraesCS7A03G0041400.2, TraesCS7D03G0036300.1, TraesCS7D03G0036300.2"
65,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0030800.1,TraesCS3A03G0030800.1,TraesCS3A03G0030800.1,,1071,False,False,,TraesCS3A03G0030800.1,,3.73,1.0,0.999,0.0,2,0,2,6,0,6,0,0,0,,,"TraesCS3A03G0030800.2, TraesCS3D03G0024300.1, TraesCS3D03G0024300.2, TraesCSU03G0033800.1, TraesCSU03G0033800.2"
66,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0041700.1,TraesCS3A03G0041700.1,TraesCS3A03G0041700.1,,423,False,False,,TraesCS3A03G0041700.1,,11.35,1.0,0.999,0.0,2,0,2,2,0,2,0,0,0,,,"TraesCS3B03G0057500.1, TraesCS3D03G0046800.1"
67,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0046100.1,TraesCS3A03G0046100.1,TraesCS3A03G0046100.1,,450,False,False,,TraesCS3A03G0046100.1,,9.56,1.0,0.999,0.0,3,0,3,8,0,8,0,0,0,,,"TraesCS3A03G0046100.2, TraesCS3A03G0046100.3, TraesCS3D03G0041800.1, TraesCS3D03G0041800.2"
68,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0245800.1,TraesCS3A03G0245800.1,TraesCS3A03G0245800.1,,164,False,False,,TraesCS3A03G0245800.1,,29.27,1.0,0.999,0.0,3,0,2,7,0,4,0,0,0,,,"TraesCS3A03G0246200.1, TraesCS3B03G0310700.1, TraesCS3B03G0310800.1, TraesCS3D03G0238800.1, TraesCS3D03G0239000.1, TraesCS3D03G0239100.1, TraesCS3D03G0239200.1, TraesCS3D03G0239400.1, TraesCS4D03G0298400.1, TraesCS4D03G0298500.1"
69,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0304900.1,TraesCS3A03G0304900.1,TraesCS3A03G0304900.1,,157,False,False,,TraesCS3A03G0304900.1,,16.56,1.0,0.999,0.0,2,0,2,11,0,11,0,0,0,,,TraesCS3D03G0296500.1
70,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0474800.1,TraesCS3A03G0474800.1,TraesCS3A03G0474800.1,,608,False,False,,TraesCS3A03G0474800.1,,6.41,1.0,0.9982,0.0,2,0,2,2,0,2,0,0,0,,,"TraesCS3B03G0540400.1, TraesCS3B03G0540400.2, TraesCS3D03G0427200.1, TraesCS7A03G0992800.1, TraesCS7A03G0992800.2, TraesCS7A03G0992800.3, TraesCS7A03G0992800.4, TraesCS7B03G0830100.1, TraesCS7D03G0950200.1, TraesCS7D03G0950200.2, TraesCS7D03G0950200.3"
71,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0691200.1,TraesCS3A03G0691200.1,TraesCS3A03G0691200.1,,248,False,False,,TraesCS3A03G0691200.1,,13.71,1.0,0.9989,0.0,1,1,1,5,5,5,0,0,0,"30M(15.9949), N-term(42.0106)",,
72,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0696300.2,TraesCS3A03G0696300.2,TraesCS3A03G0696300.2,,647,False,False,,TraesCS3A03G0696300.2,,6.65,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,,,TraesCS3D03G0637400.1
73,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0709500.1,TraesCS3A03G0709500.1,TraesCS3A03G0709500.1,,250,False,False,,TraesCS3A03G0709500.1,,33.6,1.0,0.999,0.0,3,1,3,8,1,8,0,0,0,"3M(15.9949), N-term(42.0106)",,
74,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0737300.1,TraesCS3A03G0737300.1,TraesCS3A03G0737300.1,,380,False,False,,TraesCS3A03G0737300.1,,9.21,1.0,0.998,0.0016051364366,2,0,2,2,0,2,0,0,0,,,"TraesCS3A03G0737300.2, TraesCS3B03G0844300.1, TraesCS3B03G0844300.2, TraesCS3D03G0680700LC.1"
75,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0738200.1,TraesCS3A03G0738200.1,TraesCS3A03G0738200.1,,649,False,False,,TraesCS3A03G0738200.1,,13.87,1.0,0.999,0.0,3,0,3,10,0,10,0,0,0,5M(15.9949),,"TraesCS3A03G0738200.2, TraesCS3B03G0844800.2, TraesCS3B03G0844800.3, TraesCS3B03G0844800.4"
76,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0814700.1,TraesCS3A03G0814700.1,TraesCS3A03G0814700.1,,557,False,False,,TraesCS3A03G0814700.1,,11.13,1.0,0.999,0.0,3,0,3,8,0,8,0,0,0,14M(15.9949),,"TraesCS3B03G0937500.1, TraesCS3D03G0750800.1"
77,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G0938200.1,TraesCS3A03G0938200.1,TraesCS3A03G0938200.1,,323,False,False,,TraesCS3A03G0938200.1,,16.1,1.0,0.999,0.0,3,0,3,4,0,4,0,0,0,,,"TraesCS3B03G1068000.1, TraesCS3D03G0870400.1"
78,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G1064000.1,TraesCS3A03G1064000.1,TraesCS3A03G1064000.1,,757,False,False,,TraesCS3A03G1064000.1,,5.94,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,,,"TraesCS3B03G1231500.1, TraesCS3D03G0991600.1"
79,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3A03G1237100.1,TraesCS3A03G1237100.1,TraesCS3A03G1237100.1,,111,False,False,,TraesCS3A03G1237100.1,,33.33,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,2M(15.9949),,"TraesCS3A03G1237100.2, TraesCS3D03G1169900.1, TraesCSU03G0049900LC.1"
80,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3B03G0354200.1,TraesCS3B03G0354200.1,TraesCS3B03G0354200.1,,153,False,False,,TraesCS3B03G0354200.1,,32.03,1.0,0.999,0.0,2,1,2,4,2,4,0,0,0,,,
81,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3B03G0378600.1,TraesCS3B03G0378600.1,TraesCS3B03G0378600.1,,157,False,False,,TraesCS3B03G0378600.1,,16.56,1.0,0.9988,0.0,2,2,2,6,6,6,0,0,0,,,
82,PXD004720,bread wheat,embryo,single,protein,no,TraesCS3B03G0686400.1,TraesCS3B03G0686400.1,TraesCS3B03G0686400.1,,340,False,False,,TraesCS3B03G0686400.1,,17.65,1.0,0.999,0.0,2,0,2,6,0,6,0,0,0,,,TraesCS3D03G0557700.1
