Source_Tissue,Track_order_inner_to_outer,Source,Tissue,Chromosome,Total_validated_mapped_peptide_rows,Sampled_points_plotted
PXD004720_embryo,5,PXD004720,embryo,Chr6D,331,50
PXD004720_embryo,5,PXD004720,embryo,Chr7A,401,50
PXD004720_embryo,5,PXD004720,embryo,Chr7B,386,50
PXD004720_embryo,5,PXD004720,embryo,Chr7D,414,50
PXD004720_embryo,5,PXD004720,embryo,ChrUnknown,80,50
PXD004720_endosperm,6,PXD004720,endosperm,Chr1A,4740,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr1B,4883,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr1D,4818,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr2A,5008,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr2B,5265,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr2D,5197,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr3A,4511,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr3B,5059,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr3D,4996,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr4A,5306,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr4B,4662,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr4D,4384,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr5A,5363,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr5B,5745,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr5D,5532,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr6A,3800,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr6B,4092,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr6D,3667,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr7A,4920,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr7B,4465,100
PXD004720_endosperm,6,PXD004720,endosperm,Chr7D,5000,100
PXD004720_endosperm,6,PXD004720,endosperm,ChrUnknown,876,100
PXD004720_glume,7,PXD004720,glume,Chr1A,6522,150
PXD004720_glume,7,PXD004720,glume,Chr1B,6535,150
PXD004720_glume,7,PXD004720,glume,Chr1D,6972,150
PXD004720_glume,7,PXD004720,glume,Chr2A,7693,150
PXD004720_glume,7,PXD004720,glume,Chr2B,7681,150
PXD004720_glume,7,PXD004720,glume,Chr2D,7999,150
PXD004720_glume,7,PXD004720,glume,Chr3A,5932,150
PXD004720_glume,7,PXD004720,glume,Chr3B,6742,150
PXD004720_glume,7,PXD004720,glume,Chr3D,6525,150
PXD004720_glume,7,PXD004720,glume,Chr4A,6914,150
PXD004720_glume,7,PXD004720,glume,Chr4B,5897,150
PXD004720_glume,7,PXD004720,glume,Chr4D,6045,150
PXD004720_glume,7,PXD004720,glume,Chr5A,7220,150
PXD004720_glume,7,PXD004720,glume,Chr5B,7788,150
PXD004720_glume,7,PXD004720,glume,Chr5D,8071,150
PXD004720_glume,7,PXD004720,glume,Chr6A,5836,150
PXD004720_glume,7,PXD004720,glume,Chr6B,6432,150
PXD004720_glume,7,PXD004720,glume,Chr6D,5872,150
PXD004720_glume,7,PXD004720,glume,Chr7A,6681,150
PXD004720_glume,7,PXD004720,glume,Chr7B,6123,150
PXD004720_glume,7,PXD004720,glume,Chr7D,6969,150
PXD004720_glume,7,PXD004720,glume,ChrUnknown,1630,150
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr1A,5870,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr1B,5830,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr1D,5770,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr2A,6373,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr2B,6571,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr2D,6460,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr3A,5613,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr3B,6253,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr3D,6097,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr4A,6443,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr4B,5665,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr4D,5225,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr5A,6461,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr5B,6923,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr5D,6833,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr6A,4759,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr6B,5223,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr6D,4774,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr7A,5889,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr7B,5330,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,Chr7D,5889,100
PXD004720_grain_zadoks_70,8,PXD004720,grain_zadoks_70,ChrUnknown,1104,100
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr1A,8188,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr1B,8215,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr1D,8156,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr2A,9159,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr2B,9353,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr2D,9218,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr3A,8033,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr3B,8826,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr3D,8830,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr4A,9160,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr4B,7874,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr4D,7532,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr5A,9096,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr5B,9478,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr5D,9500,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr6A,7124,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr6B,7785,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr6D,7098,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr7A,8399,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr7B,7740,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,Chr7D,8628,150
PXD004720_grain_zadoks_71,9,PXD004720,grain_zadoks_71,ChrUnknown,1422,150
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr1A,5915,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr1B,6004,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr1D,6008,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr2A,6891,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr2B,6894,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr2D,6900,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr3A,5875,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr3B,6440,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr3D,6317,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr4A,6641,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr4B,6038,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr4D,5637,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr5A,6966,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr5B,7262,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr5D,7212,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr6A,5055,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr6B,5537,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr6D,5129,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr7A,6211,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr7B,5759,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,Chr7D,6375,100
PXD004720_grain_zadoks_75,10,PXD004720,grain_zadoks_75,ChrUnknown,1015,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr1A,5174,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr1B,5068,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr1D,5177,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr2A,5632,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr2B,5877,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr2D,5891,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr3A,4832,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr3B,5462,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr3D,5227,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr4A,5835,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr4B,5129,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr4D,4737,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr5A,5883,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr5B,6181,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr5D,6248,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr6A,4232,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr6B,4625,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr6D,4240,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr7A,5474,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr7B,4947,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,Chr7D,5464,100
PXD004720_grain_zadoks_83,11,PXD004720,grain_zadoks_83,ChrUnknown,1054,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr1A,5218,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr1B,5196,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr1D,5141,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr2A,5560,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr2B,5794,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr2D,5657,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr3A,5097,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr3B,5647,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr3D,5474,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr4A,5842,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr4B,5277,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr4D,4679,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr5A,5843,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr5B,6275,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr5D,6070,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr6A,4134,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr6B,4368,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr6D,4150,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr7A,5103,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr7B,4665,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,Chr7D,5066,100
PXD004720_grain_zadoks_87,12,PXD004720,grain_zadoks_87,ChrUnknown,900,100
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr1A,6643,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr1B,6454,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr1D,6841,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr2A,7902,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr2B,7595,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr2D,7994,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr3A,6312,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr3B,6939,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr3D,6741,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr4A,6888,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr4B,6039,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr4D,6176,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr5A,7289,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr5B,7739,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr5D,8011,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr6A,5753,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr6B,6315,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr6D,5960,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr7A,6648,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr7B,6125,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,Chr7D,6754,150
PXD004720_leaf_flag_mature,13,PXD004720,leaf_flag_mature,ChrUnknown,1523,146
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr1A,2032,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr1B,2123,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr1D,2085,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr2A,2345,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr2B,2471,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr2D,2558,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr3A,1942,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr3B,2303,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr3D,2069,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr4A,2107,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr4B,1833,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr4D,1872,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr5A,2294,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr5B,2396,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr5D,2541,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr6A,1804,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr6B,2120,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr6D,1813,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr7A,2128,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr7B,2069,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,Chr7D,2149,50
PXD004720_leaf_flag_senescing,14,PXD004720,leaf_flag_senescing,ChrUnknown,626,50
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr1A,5342,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr1B,5209,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr1D,5521,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr2A,6471,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr2B,6530,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr2D,6686,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr3A,5206,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr3B,5750,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr3D,5519,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr4A,5739,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr4B,4871,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr4D,5050,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr5A,6060,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr5B,6532,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr5D,6868,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr6A,4892,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr6B,5484,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr6D,4975,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr7A,5410,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr7B,4974,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,Chr7D,5512,150
PXD004720_leaf_flag_young,15,PXD004720,leaf_flag_young,ChrUnknown,1321,150
PXD004720_lemma,16,PXD004720,lemma,Chr1A,6596,100
PXD004720_lemma,16,PXD004720,lemma,Chr1B,6606,100
PXD004720_lemma,16,PXD004720,lemma,Chr1D,6948,100
PXD004720_lemma,16,PXD004720,lemma,Chr2A,8047,100
PXD004720_lemma,16,PXD004720,lemma,Chr2B,7925,100
PXD004720_lemma,16,PXD004720,lemma,Chr2D,8124,100
PXD004720_lemma,16,PXD004720,lemma,Chr3A,6280,100
PXD004720_lemma,16,PXD004720,lemma,Chr3B,7137,100
PXD004720_lemma,16,PXD004720,lemma,Chr3D,6885,100
PXD004720_lemma,16,PXD004720,lemma,Chr4A,6933,100
PXD004720_lemma,16,PXD004720,lemma,Chr4B,5977,100
PXD004720_lemma,16,PXD004720,lemma,Chr4D,6038,100
PXD004720_lemma,16,PXD004720,lemma,Chr5A,7343,100
PXD004720_lemma,16,PXD004720,lemma,Chr5B,8036,100
PXD004720_lemma,16,PXD004720,lemma,Chr5D,8317,100
PXD004720_lemma,16,PXD004720,lemma,Chr6A,5870,100
PXD004720_lemma,16,PXD004720,lemma,Chr6B,6513,100
PXD004720_lemma,16,PXD004720,lemma,Chr6D,5956,100
PXD004720_lemma,16,PXD004720,lemma,Chr7A,6650,100
PXD004720_lemma,16,PXD004720,lemma,Chr7B,6078,100
PXD004720_lemma,16,PXD004720,lemma,Chr7D,6842,100
PXD004720_lemma,16,PXD004720,lemma,ChrUnknown,1461,100
PXD004720_node,17,PXD004720,node,Chr1A,4495,100
