Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
TraesCS1A03G0428400.1	TraesCS1A03G0428400.1	TraesCS1A03G0428400.1		889	false	false		TraesCS1A03G0428400.1		9.34	1.0000	0.9990	0.00000000000000	3	0	3	9	0	9	     0	     0	     0	N-term(42.0106)		TraesCS1B03G0517800.1, TraesCS1D03G0404500.1
TraesCS1A03G0450000.1	TraesCS1A03G0450000.1	TraesCS1A03G0450000.1		1027	false	false		TraesCS1A03G0450000.1		10.03	1.0000	0.9990	0.00000000000000	5	1	5	6	1	6	     0	     0	     0	12M(15.9949), 14M(15.9949)		
TraesCS1A03G0510800.1	TraesCS1A03G0510800.1	TraesCS1A03G0510800.1		140	false	false		TraesCS1A03G0510800.1		33.57	1.0000	0.9990	0.00000000000000	3	0	2	8	0	6	     0	     0	     0	2M(15.9949)		TraesCS1A03G0595600.1, TraesCS1A03G0596300.1, TraesCS1B03G0566900.1, TraesCS1B03G0694300.1, TraesCS1B03G0694900.1, TraesCS1D03G0571600.1, TraesCS2A03G0776000.1, TraesCS2D03G0716000.1, TraesCS3A03G0196000.1, TraesCS3B03G0239100LC.1, TraesCS3D03G0175700.1, TraesCS4A03G0057500.1, TraesCS4A03G0057600.1, TraesCS4A03G0206500.1, TraesCS4A03G0678100.1, TraesCS4B03G0117000.1, TraesCS4B03G0568700.1, TraesCS4B03G0730900.1, TraesCS4D03G0099200.1, TraesCS4D03G0502300.1, TraesCS4D03G0648900LC.1, TraesCS5A03G0921200.1, TraesCS5B03G0973100.1, TraesCS5D03G0043400.1, TraesCS5D03G0881000.1
TraesCS1A03G0514700.1	TraesCS1A03G0514700.1	TraesCS1A03G0514700.1		387	false	false		TraesCS1A03G0514700.1		14.99	1.0000	0.9987	0.00000000000000	3	0	3	6	0	6	     0	     0	     0	N-term(42.0106)		TraesCS1D03G0499400.1
TraesCS1A03G0538900.2	TraesCS1A03G0538900.2	TraesCS1A03G0538900.2		730	false	false		TraesCS1A03G0538900.2		13.42	1.0000	0.9990	0.00000000000000	4	0	4	4	0	4	     0	     0	     0			TraesCS1A03G0538900.3, TraesCS1B03G0627800.3, TraesCS1D03G0518700.1
TraesCS1A03G0572400.1	TraesCS1A03G0572400.1	TraesCS1A03G0572400.1		150	false	false		TraesCS1A03G0572400.1		38.00	1.0000	0.9988	0.00000000000000	3	0	3	3	0	3	     0	     0	     0	N-term(42.0106)		TraesCS1B03G0662300.1
TraesCS1A03G0578300.1	TraesCS1A03G0578300.1	TraesCS1A03G0578300.1		583	false	false		TraesCS1A03G0578300.1		5.32	1.0000	0.9990	0.00000000000000	2	0	2	4	0	4	     0	     0	     0			TraesCS1A03G0578300.2, TraesCS3A03G0339000.1, TraesCS3A03G0339000.2
TraesCS1A03G0585700.1	TraesCS1A03G0585700.1	TraesCS1A03G0585700.1		222	false	false		TraesCS1A03G0585700.1		21.17	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0	N-term(42.0106)		TraesCS1D03G0556800.1
TraesCS1A03G0628200LC.1	TraesCS1A03G0628200LC.1	TraesCS1A03G0628200LC.1		321	false	false		TraesCS1A03G0628200LC.1		14.33	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	     0	     0	     0	32M(15.9949), 33M(15.9949)		TraesCS1B03G0717200.1, TraesCS1D03G0589600.1
TraesCS1A03G0652200.1	TraesCS1A03G0652200.1	TraesCS1A03G0652200.1		879	false	false		TraesCS1A03G0652200.1		7.05	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			TraesCS1A03G0652200.2, TraesCS1A03G0652400.1, TraesCS1A03G0652400.2, TraesCS1A03G0652400.3, TraesCS1B03G0741000.1, TraesCS1B03G0741000.2, TraesCS1B03G0741000.3, TraesCS1D03G0610200.1, TraesCS1D03G0610200.2
TraesCS1A03G0663000.1	TraesCS1A03G0663000.1	TraesCS1A03G0663000.1		445	false	false		TraesCS1A03G0663000.1		17.75	1.0000	0.9990	0.00000000000000	5	0	4	8	0	7	     0	     0	     0			TraesCS1A03G0768600.1, TraesCS1B03G0753200.1, TraesCS1B03G0879400.1, TraesCS1D03G0624600.1, TraesCS1D03G0735500.1
TraesCS1A03G0845300.1	TraesCS1A03G0845300.1	TraesCS1A03G0845300.1		507	false	false		TraesCS1A03G0845300.1		5.33	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			TraesCS1A03G0845300.2, TraesCS1B03G0971600.1, TraesCS1D03G0813500.1
TraesCS1A03G0858500.1	TraesCS1A03G0858500.1	TraesCS1A03G0858500.1		428	false	false		TraesCS1A03G0858500.1		10.28	1.0000	0.9990	0.00000000000000	2	0	2	10	0	10	     0	     0	     0	21M(15.9949), 22M(15.9949)		TraesCS1A03G0858500.2, TraesCS1A03G0858500.3, TraesCS1A03G0858500.4, TraesCS1B03G0994700.1, TraesCS1B03G0994700.2, TraesCS1B03G0994700.3, TraesCS1B03G0994700.4, TraesCS1D03G0830200.1, TraesCS1D03G0830200.2, TraesCS1D03G0830200.3, TraesCS1D03G0830200.4, TraesCS1D03G0830200.5, TraesCS4A03G0673100.1, TraesCS4B03G0123900.1, TraesCS4B03G0123900.2, TraesCS4D03G0105300.1
TraesCS1A03G0874200LC.1	TraesCS1A03G0874200LC.1	TraesCS1A03G0874200LC.1		275	false	false		TraesCS1A03G0874200LC.1		24.36	1.0000	0.9990	0.00000000000000	3	1	3	5	2	5	     0	     0	     0			
TraesCS1A03G0893900.1	TraesCS1A03G0893900.1	TraesCS1A03G0893900.1		153	false	false		TraesCS1A03G0893900.1		41.18	1.0000	0.9990	0.00000000000000	4	0	4	13	0	13	     0	     0	     0	2M(15.9949), 5M(15.9949), N-term(42.0106)		TraesCS1A03G0894000.1, TraesCS1B03G1030100.1, TraesCS1B03G1049800.1, TraesCS1B03G1050300.1, TraesCS1B03G1050500.1, TraesCS1B03G1050700.1, TraesCS1D03G0855800.1, TraesCS1D03G0870400.1, TraesCS1D03G0870500.1
TraesCS1A03G0913900.1	TraesCS1A03G0913900.1	TraesCS1A03G0913900.1		335	false	false		TraesCS1A03G0913900.1		9.25	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	     0	     0	     0			
TraesCS1A03G0915700.1	TraesCS1A03G0915700.1	TraesCS1A03G0915700.1		553	false	false		TraesCS1A03G0915700.1		28.75	1.0000	0.9990	0.00000000000000	9	0	9	22	0	22	     0	     0	     0	9M(15.9949)		TraesCS1B03G1079500.2, TraesCS1D03G0895200LC.1
TraesCS1A03G0930100LC.1	TraesCS1A03G0930100LC.1	TraesCS1A03G0930100LC.1		353	false	false		TraesCS1A03G0930100LC.1		23.80	1.0000	0.9990	0.00000000000000	6	0	6	15	0	15	     0	     0	     0	3M(15.9949), 9M(15.9949)		TraesCS2D03G0040800.1
TraesCS1A03G0931600LC.1	TraesCS1A03G0931600LC.1	TraesCS1A03G0931600LC.1		320	false	false		TraesCS1A03G0931600LC.1		18.12	1.0000	0.9990	0.00000000000000	3	0	3	7	0	7	     0	     0	     0			TraesCS1B03G1090900LC.1, TraesCS2D03G0133300LC.1, TraesCS3B03G0446700LC.1, TraesCS3D03G0096900.1, TraesCS5D03G0936100.1
TraesCS1A03G0934000LC.1	TraesCS1A03G0934000LC.1	TraesCS1A03G0934000LC.1		734	false	false		TraesCS1A03G0934000LC.1		5.31	1.0000	0.9990	0.00000000000000	2	0	2	4	0	4	     0	     0	     0			TraesCS1B03G1090500LC.1, TraesCS1D03G0466000.1, TraesCS5D03G1016100LC.1, TraesCS7B03G1065900LC.1
TraesCS1A03G0934200LC.1	TraesCS1A03G0934200LC.1	TraesCS1A03G0934200LC.1		227	false	false		TraesCS1A03G0934200LC.1		24.23	1.0000	0.9990	0.00000000000000	3	0	3	4	0	4	     0	     0	     0			TraesCS1D03G0462000.1, TraesCS4A03G0391100LC.1, TraesCSU03G0199700LC.1
TraesCS1A03G0956200.1	TraesCS1A03G0956200.1	TraesCS1A03G0956200.1		153	false	false		TraesCS1A03G0956200.1		12.42	1.0000	0.9990	0.00000000000000	1	0	1	5	0	5	     0	     0	     0	18M(15.9949)		TraesCS1D03G0931800.1, TraesCS3A03G0689600.1, TraesCS3B03G0784900.1, TraesCS3D03G0626700.1, TraesCS5A03G0480900.1, TraesCS5B03G0079300LC.1, TraesCS5B03G0479800.2, TraesCS5D03G0444000.2
TraesCS1A03G0982700.1	TraesCS1A03G0982700.1	TraesCS1A03G0982700.1		378	false	false		TraesCS1A03G0982700.1		16.93	1.0000	0.9990	0.00000000000000	4	0	4	11	0	11	     0	     0	     0	N-term(42.0106)		TraesCS1B03G1166600.1, TraesCS1D03G0951700.1
TraesCS1A03G0986900.1	TraesCS1A03G0986900.1	TraesCS1A03G0986900.1		266	false	false		TraesCS1A03G0986900.1		42.48	1.0000	0.9990	0.00000000000000	3	0	3	27	0	27	     0	     0	     0	18M(15.9949)		TraesCS1B03G1169100.1, TraesCS1D03G0954200.1
TraesCS1A03G0988100.1	TraesCS1A03G0988100.1	TraesCS1A03G0988100.1		266	false	false		TraesCS1A03G0988100.1		27.82	1.0000	0.9990	0.00000000000000	2	0	2	17	0	17	     0	     0	     0			TraesCS1B03G1170500.1, TraesCS1D03G0873500.1, TraesCS1D03G0954900.1, TraesCS5B03G1135300.1, TraesCS5B03G1135900.1, TraesCS5D03G1027800.1, TraesCS5D03G1028000.1, TraesCS6A03G0216400.1, TraesCS7B03G0270500.1, TraesCS7B03G0270600.1, TraesCS7D03G0445500.1
TraesCS1A03G0990000.1	TraesCS1A03G0990000.1	TraesCS1A03G0990000.1		509	false	false		TraesCS1A03G0990000.1		12.77	1.0000	0.9990	0.00000000000000	3	0	3	4	0	4	     0	     0	     0	3M(15.9949), 8M(15.9949)		TraesCS1B03G1171700.1, TraesCS1D03G0956000.2
TraesCS1A03G1011400.1	TraesCS1A03G1011400.1	TraesCS1A03G1011400.1		244	false	false		TraesCS1A03G1011400.1		27.46	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			TraesCS7A03G0196800.1
TraesCS1A03G1024400.1	TraesCS1A03G1024400.1	TraesCS1A03G1024400.1		522	false	false		TraesCS1A03G1024400.1		8.81	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	     0	     0	     0			TraesCS1A03G1024400.2, TraesCS1B03G1206000.1, TraesCS1B03G1206000.2, TraesCS1D03G0983500.1, TraesCS1D03G0983500.2
TraesCS1B03G0109500.1	TraesCS1B03G0109500.1	TraesCS1B03G0109500.1		154	false	false		TraesCS1B03G0109500.1		27.92	1.0000	0.9990	0.00000000000000	4	0	4	5	0	5	     0	     0	     0			TraesCS1B03G0109700.1
TraesCS1B03G0275700.1	TraesCS1B03G0275700.1	TraesCS1B03G0275700.1		482	false	false		TraesCS1B03G0275700.1		9.13	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			TraesCS1D03G0200400.1
TraesCS1B03G0509100.1	TraesCS1B03G0509100.1	TraesCS1B03G0509100.1		333	false	false		TraesCS1B03G0509100.1		17.12	1.0000	0.9990	0.00000000000000	4	0	3	8	0	5	     0	     0	     0			
TraesCS1B03G0725800.1	TraesCS1B03G0725800.1	TraesCS1B03G0725800.1		522	false	false		TraesCS1B03G0725800.1		11.49	1.0000	0.9990	0.00000000000000	2	0	2	5	0	5	     0	     0	     0	5M(15.9949)		TraesCS1B03G0725800.2, TraesCS1D03G0597400.1, TraesCS1D03G0597400.2, TraesCS1D03G0597400.3
TraesCS1B03G0892400.1	TraesCS1B03G0892400.1	TraesCS1B03G0892400.1		568	false	false		TraesCS1B03G0892400.1		31.34	1.0000	0.9990	0.00000000000000	10	0	10	31	0	31	     0	     0	     0	20M(15.9949), 37M(15.9949)		TraesCS1D03G0745400.1
TraesCS1B03G1002400.1	TraesCS1B03G1002400.1	TraesCS1B03G1002400.1		376	false	false		TraesCS1B03G1002400.1		6.12	1.0000	0.9990	0.00000000000000	1	0	1	3	0	3	     0	     0	     0	N-term(42.0106)		TraesCS1D03G0836200.1
TraesCS1B03G1018900.1	TraesCS1B03G1018900.1	TraesCS1B03G1018900.1		288	false	false		TraesCS1B03G1018900.1		23.26	1.0000	0.9990	0.00000000000000	3	0	1	5	0	2	     0	     0	     0			TraesCS1D03G0848600.1
TraesCS1B03G1190400.1	TraesCS1B03G1190400.1	TraesCS1B03G1190400.1		341	false	false		TraesCS1B03G1190400.1		32.55	1.0000	0.9990	0.00000000000000	5	0	5	11	0	11	     0	     0	     0	7M(15.9949)		TraesCS1D03G0971000.1
TraesCS1B03G1209500.1	TraesCS1B03G1209500.1	TraesCS1B03G1209500.1		268	false	false		TraesCS1B03G1209500.1		27.24	1.0000	0.9990	0.00000000000000	2	0	2	6	0	6	     0	     0	     0			TraesCS1D03G0985100.1, TraesCS2A03G0430100.1
TraesCS1B03G1246000LC.1	TraesCS1B03G1246000LC.1	TraesCS1B03G1246000LC.1		214	false	false		TraesCS1B03G1246000LC.1		28.50	1.0000	0.9990	0.00000000000000	3	0	3	29	0	29	     0	     0	     0	12M(15.9949), 16M(15.9949), 7M(15.9949), 8M(15.9949)		TraesCS5A03G0857500LC.1, TraesCS5B03G0133500LC.1, TraesCS5D03G0464500LC.1, TraesCS5D03G1016000.1
TraesCS1D03G0096400.1	TraesCS1D03G0096400.1	TraesCS1D03G0096400.1		358	false	false		TraesCS1D03G0096400.1		27.09	1.0000	0.9990	0.00000000000000	5	2	5	16	3	16	     0	     0	     0	17M(15.9949), 7M(15.9949)		
TraesCS1D03G0096500LC.1	TraesCS1D03G0096500LC.1	TraesCS1D03G0096500LC.1		196	false	false		TraesCS1D03G0096500LC.1		48.47	1.0000	0.9990	0.00000000000000	4	0	4	8	0	8	     0	     0	     0			
TraesCS1D03G0221100.1	TraesCS1D03G0221100.1	TraesCS1D03G0221100.1		566	false	false		TraesCS1D03G0221100.1		7.95	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0	N-term(42.0106)		
TraesCS1D03G0339900.1	TraesCS1D03G0339900.1	TraesCS1D03G0339900.1		341	false	false		TraesCS1D03G0339900.1		30.21	1.0000	0.9990	0.00000000000000	4	0	1	42	0	6	     0	     0	     0			
TraesCS1D03G0398800.1	TraesCS1D03G0398800.1	TraesCS1D03G0398800.1		333	false	false		TraesCS1D03G0398800.1		17.12	1.0000	0.9990	0.00000000000000	4	2	2	8	2	2	     0	     0	     0			
TraesCS1D03G0426100.1	TraesCS1D03G0426100.1	TraesCS1D03G0426100.1		225	false	false		TraesCS1D03G0426100.1		34.22	1.0000	0.9990	0.00000000000000	4	1	4	5	2	5	     0	     0	     0			
TraesCS1D03G0463200LC.1	TraesCS1D03G0463200LC.1	TraesCS1D03G0463200LC.1		285	false	false		TraesCS1D03G0463200LC.1		29.12	1.0000	0.9990	0.00000000000000	5	0	5	35	0	35	     0	     0	     0	12M(15.9949), 13M(15.9949), 5M(15.9949), 6M(15.9949)		TraesCS5D03G1011800LC.1
TraesCS1D03G0467500LC.1	TraesCS1D03G0467500LC.1	TraesCS1D03G0467500LC.1		177	false	false		TraesCS1D03G0467500LC.1		48.02	1.0000	0.9990	0.00000000000000	4	1	1	15	9	9	     0	     0	     0	11M(15.9949), 27M(15.9949)		
TraesCS1D03G0493900.1	TraesCS1D03G0493900.1	TraesCS1D03G0493900.1		528	false	false		TraesCS1D03G0493900.1		14.58	1.0000	0.9990	0.00000000000000	4	0	4	10	0	10	     0	     0	     0	12M(15.9949), 1M(15.9949)		TraesCS5A03G0048000.1, TraesCS6A03G0392200.1, TraesCS7A03G0228700.1, TraesCS7A03G0231600.1, TraesCS7B03G1347300LC.1
TraesCS1D03G0645100.1	TraesCS1D03G0645100.1	TraesCS1D03G0645100.1		310	false	false		TraesCS1D03G0645100.1		22.90	1.0000	0.9988	0.00000000000000	2	0	2	6	0	6	     0	     0	     0			
TraesCS1D03G0777300.1	TraesCS1D03G0777300.1	TraesCS1D03G0777300.1		126	false	false		TraesCS1D03G0777300.1		30.16	1.0000	0.9990	0.00000000000000	2	2	2	7	7	7	     0	     0	     0	28M(15.9949), N-term(42.0106)		
TraesCS1D03G0811100.1	TraesCS1D03G0811100.1	TraesCS1D03G0811100.1		447	false	false		TraesCS1D03G0811100.1		12.53	1.0000	0.9990	0.00000000000000	3	2	3	4	3	4	     0	     0	     0	N-term(42.0106)		
TraesCS2A03G0071800.1	TraesCS2A03G0071800.1	TraesCS2A03G0071800.1		248	false	false		TraesCS2A03G0071800.1		11.29	1.0000	0.9990	0.00000000000000	2	0	2	4	0	4	     0	     0	     0			TraesCS2B03G0106500.1, TraesCS2D03G0067000.1, TraesCS6A03G0134800LC.1
TraesCS2A03G0131600.1	TraesCS2A03G0131600.1	TraesCS2A03G0131600.1		174	false	false		TraesCS2A03G0131600.1		14.37	1.0000	0.9990	0.00000000000000	2	0	2	5	0	5	     0	     0	     0			TraesCS2A03G0131700.1, TraesCS2A03G0131800.1, TraesCS2A03G0131900.1, TraesCS2A03G0132000.1, TraesCS2A03G0132100.1, TraesCS2A03G0132200.1, TraesCS2B03G0178600.1, TraesCS2B03G0178600.2, TraesCS2B03G0178600.3, TraesCS2B03G0178800.1, TraesCS2B03G0178800.2, TraesCS2B03G0179100.1, TraesCS2B03G0179200.1, TraesCS2B03G0179200.2, TraesCS2B03G0179300.1, TraesCS2B03G0179600.1, TraesCS2D03G0128700.1, TraesCS2D03G0128800.1, TraesCS2D03G0128900.1, TraesCS2D03G0129100.1, TraesCS2D03G0129200.1, TraesCS2D03G0129300.1, TraesCS5A03G0447800.1, TraesCS5A03G0447800.2, TraesCS5A03G0448500.1, TraesCS5B03G0441800.1, TraesCS5B03G0441800.2, TraesCS5B03G0442000.1, TraesCS5D03G0413700.1, TraesCS5D03G0413700.2, TraesCS5D03G0414200.1, TraesCS5D03G0414200.2
TraesCS2A03G0160200.1	TraesCS2A03G0160200.1	TraesCS2A03G0160200.1		408	false	false		TraesCS2A03G0160200.1		9.07	1.0000	0.9990	0.00000000000000	2	0	2	4	0	4	     0	     0	     0			TraesCS2B03G0223300.1, TraesCS2D03G0157900.1
TraesCS2A03G0181000.1	TraesCS2A03G0181000.1	TraesCS2A03G0181000.1		449	false	false		TraesCS2A03G0181000.1		22.49	1.0000	0.9990	0.00000000000000	5	0	5	6	0	6	     0	     0	     0			TraesCS2B03G0247700.1, TraesCS2D03G0175400.1
TraesCS2A03G0192600.1	TraesCS2A03G0192600.1	TraesCS2A03G0192600.1		211	false	false		TraesCS2A03G0192600.1		8.06	1.0000	0.9990	0.00000000000000	1	0	1	6	0	6	     0	     0	     0	13M(15.9949)		TraesCS2A03G0224200.1, TraesCS2B03G0257400.1, TraesCS2B03G0309800.1, TraesCS2D03G0193300.1, TraesCS2D03G0231300.1, TraesCS4A03G0297400.1, TraesCS4D03G0422600.1, TraesCS4D03G0422600.2
TraesCS2A03G0209800.1	TraesCS2A03G0209800.1	TraesCS2A03G0209800.1		373	false	false		TraesCS2A03G0209800.1		12.87	1.0000	0.9990	0.00000000000000	3	0	3	12	0	12	     0	     0	     0			TraesCS2A03G0209800.2, TraesCS2B03G0288900.1, TraesCS2B03G0288900.2, TraesCS2D03G0214800.1, TraesCS2D03G0214800.2
TraesCS2A03G0236400.1	TraesCS2A03G0236400.1	TraesCS2A03G0236400.1		81	false	false		TraesCS2A03G0236400.1		19.75	1.0000	0.9990	0.00000000000000	2	0	2	4	0	4	     0	     0	     0	8M(15.9949), N-term(42.0106)		TraesCS2B03G0125100.1, TraesCS2B03G0326300.1, TraesCS2D03G0242000.1, TraesCS3B03G0078200.1, TraesCS4A03G0308700.1, TraesCS4B03G0030400LC.1, TraesCS4D03G0415800.1, TraesCS6B03G0399600LC.1
TraesCS2A03G0251800.1	TraesCS2A03G0251800.1	TraesCS2A03G0251800.1		333	false	false		TraesCS2A03G0251800.1		9.01	1.0000	0.9981	0.00000000000000	2	0	2	3	0	3	     0	     0	     0	9M(15.9949)		TraesCS2A03G0251800.2, TraesCS2A03G0251800.3, TraesCS2D03G0262900.1
